date,energy,impact-e,lat,lat-dir,lon,lon-dir,alt,vel,year,legend
2014-06-26 05:54:41,6.1,0.2,-71.5,S,93.4,E,28.5,11.2,2014,"Location: N/A,AQ<br><10 kt<br>2014-06-26 05:54:41"
2014-05-29 01:12:36,5.8,0.19,21.9,N,-131.1,W,28.7,,2014,"Location: N/A,N/A<br><10 kt<br>2014-05-29 01:12:36"
2014-05-16 20:06:28,13.6,0.4,-39.4,S,-95.9,W,30.8,18.0,2014,"Location: N/A,N/A<br><10 kt<br>2014-05-16 20:06:28"
2014-05-16 12:42:48,30.9,0.82,-44.2,S,-176.2,W,44.0,16.5,2014,"Location: N/A,NZ<br><10 kt<br>2014-05-16 12:42:48"
2014-05-08 19:42:37,105.0,2.4,-36.9,S,87.3,E,35.4,19.0,2014,"Location: N/A,N/A<br><10 kt<br>2014-05-08 19:42:37"
2014-03-29 13:45:41,3.9,0.13,-28.7,S,121.5,E,30.7,16.3,2014,"Location: Leonora,AU<br><10 kt<br>2014-03-29 13:45:41"
2014-03-18 11:02:37,54.0,1.3,0.0,N,-111.8,W,30.5,,2014,"Location: N/A,N/A<br><10 kt<br>2014-03-18 11:02:37"
2014-03-03 15:00:21,9.4,0.29,-29.0,S,-94.9,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-03-03 15:00:21"
2014-02-18 12:50:44,2.6,92.0,-32.8,S,-61.5,W,,,2014,"Location: N/A,AR<br>92.0 kt<br>2014-02-18 12:50:44"
2014-02-13 06:47:42,63.0,1.5,13.3,N,-110.7,W,25.0,,2014,"Location: N/A,N/A<br><10 kt<br>2014-02-13 06:47:42"
2014-01-15 02:46:19,14.0,0.41,-18.5,S,141.8,E,29.6,,2014,"Location: Croydon,AU<br><10 kt<br>2014-01-15 02:46:19"
2014-01-12 16:00:48,7.8,0.24,2.9,N,64.4,E,37.0,16.2,2014,"Location: N/A,N/A<br><10 kt<br>2014-01-12 16:00:48"
2014-01-08 17:05:34,3.1,0.11,-1.3,S,147.6,E,18.7,44.8,2014,"Location: N/A,PG<br><10 kt<br>2014-01-08 17:05:34"
2013-12-23 08:30:57,14.7,0.43,39.5,N,2.0,E,34.3,15.1,2013,"Location: N/A,ES<br><10 kt<br>2013-12-23 08:30:57"
2013-12-08 03:10:09,6.4,0.2,32.8,N,-165.1,W,23.5,11.8,2013,"Location: N/A,N/A<br><10 kt<br>2013-12-08 03:10:09"
2013-11-21 01:50:35,7.5,0.23,44.7,N,35.3,E,59.3,12.4,2013,"Location: N/A,N/A<br><10 kt<br>2013-11-21 01:50:35"
2013-10-12 16:06:45,161.0,3.5,-19.1,S,-25.0,W,22.2,12.8,2013,"Location: N/A,N/A<br><10 kt<br>2013-10-12 16:06:45"
2013-09-24 15:31:16,16.0,0.46,-10.3,S,-164.7,W,40.7,,2013,"Location: N/A,CK<br><10 kt<br>2013-09-24 15:31:16"
2013-08-12 18:08:02,4.4,0.15,-34.4,S,118.2,E,66.6,,2013,"Location: Stirling Range National Park,AU<br><10 kt<br>2013-08-12 18:08:02"
2013-07-31 03:50:14,6.9,0.22,-31.8,S,137.1,E,29.1,17.8,2013,"Location: Oakden Hills,AU<br><10 kt<br>2013-07-31 03:50:14"
2013-07-30 02:36:58,39.0,1.0,-50.2,S,90.2,E,25.6,18.8,2013,"Location: N/A,N/A<br><10 kt<br>2013-07-30 02:36:58"
2013-07-27 08:30:36,12.0,0.36,0.3,N,156.2,E,26.5,22.1,2013,"Location: N/A,N/A<br><10 kt<br>2013-07-27 08:30:36"
2013-07-26 11:32:26,2.0,73.0,21.0,N,-178.5,W,37.0,,2013,"Location: N/A,N/A<br>73.0 kt<br>2013-07-26 11:32:26"
2013-06-01 22:49:48,3.4,0.12,-65.6,S,138.4,E,28.9,,2013,"Location: N/A,AQ<br><10 kt<br>2013-06-01 22:49:48"
2013-05-14 23:20:21,2.0,73.0,-3.0,S,76.4,E,,,2013,"Location: N/A,N/A<br>73.0 kt<br>2013-05-14 23:20:21"
2013-04-30 08:40:38,511.0,10.0,35.5,N,-30.7,W,21.2,12.1,2013,"Location: N/A,N/A<br>10.0 kt<br>2013-04-30 08:40:38"
2013-04-21 06:23:12,106.6,2.5,-28.1,S,-64.6,W,40.7,14.9,2013,"Location: N/A,AR<br><10 kt<br>2013-04-21 06:23:12"
2013-03-12 10:32:59,2.9,0.1,-32.7,S,17.1,E,26.0,,2013,"Location: N/A,N/A<br><10 kt<br>2013-03-12 10:32:59"
2013-02-20 13:13:07,3.2,0.1,-23.0,S,-38.8,W,,13.6,2013,"Location: N/A,N/A<br><10 kt<br>2013-02-20 13:13:07"
2013-02-15 03:20:33,37500.0,440.0,54.8,N,61.1,E,23.3,18.6,2013,"Location: Tayandy,RU<br>440.0 kt<br>2013-02-15 03:20:33"
2013-02-07 13:12:24,6.5,0.21,-18.8,S,-158.6,W,,,2013,"Location: N/A,CK<br><10 kt<br>2013-02-07 13:12:24"
2013-01-25 07:40:18,340.0,6.9,60.3,N,-64.6,W,,,2013,"Location: N/A,CA<br><10 kt<br>2013-01-25 07:40:18"
2013-01-12 03:04:21,4.8,0.16,-15.1,S,-155.6,W,36.1,,2013,"Location: N/A,N/A<br><10 kt<br>2013-01-12 03:04:21"
2012-12-30 07:25:35,19.8,0.55,17.3,N,-83.6,W,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-12-30 07:25:35"
2012-11-20 20:37:31,2.5,89.0,2.5,N,29.6,E,33.3,14.3,2012,"Location: N/A,CD<br>89.0 kt<br>2012-11-20 20:37:31"
2012-11-20 06:25:11,12.0,0.36,-8.0,S,-86.0,W,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-11-20 06:25:11"
2012-10-19 16:26:22,2.3,82.0,-75.4,S,49.6,E,29.3,13.2,2012,"Location: N/A,AQ<br>82.0 kt<br>2012-10-19 16:26:22"
2012-10-09 00:54:55,21.0,0.58,51.2,N,-84.6,W,27.8,13.5,2012,"Location: N/A,CA<br><10 kt<br>2012-10-09 00:54:55"
2012-10-03 22:50:12,28.0,0.75,-41.5,S,-21.9,W,,17.0,2012,"Location: N/A,N/A<br><10 kt<br>2012-10-03 22:50:12"
2012-10-02 16:38:38,47.0,1.2,-8.1,S,-111.9,W,35.0,15.4,2012,"Location: N/A,N/A<br><10 kt<br>2012-10-02 16:38:38"
2012-09-28 05:44:12,3.8,0.13,-6.9,S,73.7,E,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-09-28 05:44:12"
2012-09-18 19:34:39,24.4,0.67,1.2,N,-52.2,W,28.1,18.3,2012,"Location: N/A,BR<br><10 kt<br>2012-09-18 19:34:39"
2012-09-11 22:07:30,5.2,0.17,-18.9,S,105.2,E,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-09-11 22:07:30"
2012-09-10 01:03:32,2.3,82.0,-69.8,S,-111.7,W,23.8,16.9,2012,"Location: N/A,N/A<br>82.0 kt<br>2012-09-10 01:03:32"
2012-08-27 06:57:43,6.8,0.22,-18.3,S,64.2,E,38.7,28.9,2012,"Location: N/A,N/A<br><10 kt<br>2012-08-27 06:57:43"
2012-08-26 14:55:47,24.9,0.68,11.8,N,117.0,E,36.0,12.7,2012,"Location: N/A,N/A<br><10 kt<br>2012-08-26 14:55:47"
2012-07-27 04:19:50,3.4,0.12,63.1,N,172.3,E,27.2,,2012,"Location: N/A,RU<br><10 kt<br>2012-07-27 04:19:50"
2012-07-25 07:48:20,13.3,0.39,36.4,N,41.5,E,26.8,18.5,2012,"Location: N/A,IQ<br><10 kt<br>2012-07-25 07:48:20"
2012-05-25 11:31:24,6.0,0.19,-41.8,S,-36.2,W,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-05-25 11:31:24"
2012-05-15 11:04:17,13.2,0.39,-61.8,S,-135.5,W,33.3,17.1,2012,"Location: N/A,N/A<br><10 kt<br>2012-05-15 11:04:17"
2012-05-04 21:54:49,22.9,0.63,76.7,N,-10.6,W,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-05-04 21:54:49"
2012-04-23 22:01:10,4.4,0.15,36.2,N,107.4,E,25.2,,2012,"Location: Qingyang Shi,CN<br><10 kt<br>2012-04-23 22:01:10"
2012-04-21 16:08:23,14.3,0.42,-15.8,S,-174.8,W,,,2012,"Location: N/A,TO<br><10 kt<br>2012-04-21 16:08:23"
2012-04-19 22:12:10,3.0,0.1,5.5,N,16.8,E,,,2012,"Location: N/A,CF<br><10 kt<br>2012-04-19 22:12:10"
2012-04-02 16:50:33,3.2,0.11,28.1,N,-95.2,W,,,2012,"Location: N/A,N/A<br><10 kt<br>2012-04-02 16:50:33"
2012-03-12 06:40:44,9.9,0.3,2.5,N,139.8,E,25.0,11.8,2012,"Location: N/A,N/A<br><10 kt<br>2012-03-12 06:40:44"
2012-03-03 21:28:24,10.1,0.31,7.8,N,2.7,E,20.4,,2012,"Location: N/A,NG<br><10 kt<br>2012-03-03 21:28:24"
2012-03-01 03:12:40,2.2,79.0,46.9,N,-29.8,W,,,2012,"Location: N/A,N/A<br>79.0 kt<br>2012-03-01 03:12:40"
2012-02-24 19:11:41,3.7,0.13,-22.7,S,30.8,E,,,2012,"Location: N/A,ZA<br><10 kt<br>2012-02-24 19:11:41"
2012-02-17 10:47:16,15.4,0.44,-3.2,S,-39.9,W,45.6,,2012,"Location: N/A,BR<br><10 kt<br>2012-02-17 10:47:16"
2012-02-12 05:25:52,14.0,0.41,-31.7,S,54.9,E,61.0,,2012,"Location: N/A,N/A<br><10 kt<br>2012-02-12 05:25:52"
2012-02-04 14:42:51,15.0,0.43,32.4,N,0.1,E,34.2,12.2,2012,"Location: N/A,DZ<br><10 kt<br>2012-02-04 14:42:51"
2012-01-15 12:26:20,2.1,76.0,-64.1,S,109.9,E,26.3,12.3,2012,"Location: N/A,N/A<br>76.0 kt<br>2012-01-15 12:26:20"
2012-01-11 02:23:15,8.5,0.26,32.2,N,88.5,E,,,2012,"Location: Naqu Diqu,CN<br><10 kt<br>2012-01-11 02:23:15"
2011-12-19 11:35:39,13.5,0.4,-30.2,S,52.6,E,36.1,,2011,"Location: N/A,N/A<br><10 kt<br>2011-12-19 11:35:39"
2011-12-14 05:01:38,5.0,0.16,-62.9,S,89.6,E,32.4,,2011,"Location: N/A,N/A<br><10 kt<br>2011-12-14 05:01:38"
